date,close,ticker_indice_yf,short_name_indice
,3745.1499,^DJI,Dow Jones Industrial Average
,3793.77,^DJI,Dow Jones Industrial Average
,3783.8999,^DJI,Dow Jones Industrial Average
1994-05-01 00:00:00+00:00,3850.3101,^DJI,Dow Jones Industrial Average
1994-12-01 00:00:00+00:00,3870.29,^DJI,Dow Jones Industrial Average
,3895.3401,^DJI,Dow Jones Industrial Average
,3964.01,^DJI,Dow Jones Industrial Average
1994-02-02 00:00:00+00:00,3906.03,^DJI,Dow Jones Industrial Average
1994-09-02 00:00:00+00:00,3928.27,^DJI,Dow Jones Industrial Average
,3911.6599,^DJI,Dow Jones Industrial Average
,3809.23,^DJI,Dow Jones Industrial Average
1994-02-03 00:00:00+00:00,3851.72,^DJI,Dow Jones Industrial Average
1994-09-03 00:00:00+00:00,3849.5901,^DJI,Dow Jones Industrial Average
,3862.55,^DJI,Dow Jones Industrial Average
,3699.02,^DJI,Dow Jones Industrial Average
,3675.4099,^DJI,Dow Jones Industrial Average
1994-06-04 00:00:00+00:00,3681.6899,^DJI,Dow Jones Industrial Average
,3619.8201,^DJI,Dow Jones Industrial Average
,3699.54,^DJI,Dow Jones Industrial Average
,3714.4099,^DJI,Dow Jones Industrial Average
1994-04-05 00:00:00+00:00,3656.4099,^DJI,Dow Jones Industrial Average
1994-11-05 00:00:00+00:00,3720.6101,^DJI,Dow Jones Industrial Average
,3745.1699,^DJI,Dow Jones Industrial Average
,3758.3701,^DJI,Dow Jones Industrial Average
1994-01-06 00:00:00+00:00,3755.9099,^DJI,Dow Jones Industrial Average
1994-08-06 00:00:00+00:00,3814.8301,^DJI,Dow Jones Industrial Average
,3707.97,^DJI,Dow Jones Industrial Average
,3669.6399,^DJI,Dow Jones Industrial Average
,3652.48,^DJI,Dow Jones Industrial Average
1994-06-07 00:00:00+00:00,3702.6599,^DJI,Dow Jones Industrial Average
,3748.3101,^DJI,Dow Jones Industrial Average
,3735.6799,^DJI,Dow Jones Industrial Average
,3796.22,^DJI,Dow Jones Industrial Average
1994-03-08 00:00:00+00:00,3755.76,^DJI,Dow Jones Industrial Average
1994-10-08 00:00:00+00:00,3784.5701,^DJI,Dow Jones Industrial Average
,3775.8301,^DJI,Dow Jones Industrial Average
,3917.3,^DJI,Dow Jones Industrial Average
,3898.7,^DJI,Dow Jones Industrial Average
1994-07-09 00:00:00+00:00,3879.8601,^DJI,Dow Jones Industrial Average
,3869.0901,^DJI,Dow Jones Industrial Average
,3863.04,^DJI,Dow Jones Industrial Average
,3801.1299,^DJI,Dow Jones Industrial Average
1994-05-10 00:00:00+00:00,3876.8301,^DJI,Dow Jones Industrial Average
1994-12-10 00:00:00+00:00,3917.54,^DJI,Dow Jones Industrial Average
,3850.5901,^DJI,Dow Jones Industrial Average
,3863.3701,^DJI,Dow Jones Industrial Average
1994-02-11 00:00:00+00:00,3830.74,^DJI,Dow Jones Industrial Average
1994-09-11 00:00:00+00:00,3826.3601,^DJI,Dow Jones Industrial Average
,3677.99,^DJI,Dow Jones Industrial Average
,3738.55,^DJI,Dow Jones Industrial Average
,3745.95,^DJI,Dow Jones Industrial Average
1994-07-12 00:00:00+00:00,3715.3401,^DJI,Dow Jones Industrial Average
,3767.1499,^DJI,Dow Jones Industrial Average
,3861.6899,^DJI,Dow Jones Industrial Average
,3838.48,^DJI,Dow Jones Industrial Average
1995-04-01 00:00:00+00:00,3866.74,^DJI,Dow Jones Industrial Average
1995-11-01 00:00:00+00:00,3930.6599,^DJI,Dow Jones Industrial Average
,3862.7,^DJI,Dow Jones Industrial Average
,3843.8601,^DJI,Dow Jones Industrial Average
1995-01-02 00:00:00+00:00,3937.3899,^DJI,Dow Jones Industrial Average
1995-08-02 00:00:00+00:00,3958.25,^DJI,Dow Jones Industrial Average
,3963.97,^DJI,Dow Jones Industrial Average
,4011.05,^DJI,Dow Jones Industrial Average
1995-01-03 00:00:00+00:00,3962.6299,^DJI,Dow Jones Industrial Average
1995-08-03 00:00:00+00:00,4048.75,^DJI,Dow Jones Industrial Average
,4072.6101,^DJI,Dow Jones Industrial Average
,4151.8101,^DJI,Dow Jones Industrial Average
,4201.6099,^DJI,Dow Jones Industrial Average
1995-05-04 00:00:00+00:00,4187.0801,^DJI,Dow Jones Industrial Average
1995-12-04 00:00:00+00:00,4179.1299,^DJI,Dow Jones Industrial Average
,4300.1699,^DJI,Dow Jones Industrial Average
,4328.8799,^DJI,Dow Jones Industrial Average
1995-03-05 00:00:00+00:00,4390.7798,^DJI,Dow Jones Industrial Average
1995-10-05 00:00:00+00:00,4435.0498,^DJI,Dow Jones Industrial Average
,4436.4399,^DJI,Dow Jones Industrial Average
,4378.6802,^DJI,Dow Jones Industrial Average
,4485.2002,^DJI,Dow Jones Industrial Average
1995-07-06 00:00:00+00:00,4484.5098,^DJI,Dow Jones Industrial Average
,4550.5601,^DJI,Dow Jones Industrial Average
,4542.6099,^DJI,Dow Jones Industrial Average
,4585.1499,^DJI,Dow Jones Industrial Average
1995-05-07 00:00:00+00:00,4680.6001,^DJI,Dow Jones Industrial Average
1995-12-07 00:00:00+00:00,4686.2798,^DJI,Dow Jones Industrial Average
,4714.4502,^DJI,Dow Jones Industrial Average
,4700.3701,^DJI,Dow Jones Industrial Average
1995-02-08 00:00:00+00:00,4693.3198,^DJI,Dow Jones Industrial Average
1995-09-08 00:00:00+00:00,4640.8398,^DJI,Dow Jones Industrial Average
,4620.4199,^DJI,Dow Jones Industrial Average
,4608.4399,^DJI,Dow Jones Industrial Average
,4670.0801,^DJI,Dow Jones Industrial Average
1995-06-09 00:00:00+00:00,4747.21,^DJI,Dow Jones Industrial Average
,4767.04,^DJI,Dow Jones Industrial Average
,4765.6001,^DJI,Dow Jones Industrial Average
,4749.7002,^DJI,Dow Jones Industrial Average
1995-04-10 00:00:00+00:00,4720.7998,^DJI,Dow Jones Industrial Average
1995-11-10 00:00:00+00:00,4795.9502,^DJI,Dow Jones Industrial Average
,4783.6602,^DJI,Dow Jones Industrial Average
,4755.48,^DJI,Dow Jones Industrial Average
1995-01-11 00:00:00+00:00,4797.0298,^DJI,Dow Jones Industrial Average
1995-08-11 00:00:00+00:00,4871.8101,^DJI,Dow Jones Industrial Average
,5023.5498,^DJI,Dow Jones Industrial Average
,5078.1001,^DJI,Dow Jones Industrial Average
,5177.4502,^DJI,Dow Jones Industrial Average
1995-06-12 00:00:00+00:00,5174.9199,^DJI,Dow Jones Industrial Average
,5109.8901,^DJI,Dow Jones Industrial Average
,5110.2598,^DJI,Dow Jones Industrial Average
,5177.4502,^DJI,Dow Jones Industrial Average
1996-03-01 00:00:00+00:00,5130.1299,^DJI,Dow Jones Industrial Average
1996-10-01 00:00:00+00:00,5088.2202,^DJI,Dow Jones Industrial Average
,5192.27,^DJI,Dow Jones Industrial Average
,5381.21,^DJI,Dow Jones Industrial Average
,5459.6099,^DJI,Dow Jones Industrial Average
1996-07-02 00:00:00+00:00,5601.23,^DJI,Dow Jones Industrial Average
,5458.5298,^DJI,Dow Jones Industrial Average
,5549.21,^DJI,Dow Jones Industrial Average
,5642.4199,^DJI,Dow Jones Industrial Average
1996-06-03 00:00:00+00:00,5583.8901,^DJI,Dow Jones Industrial Average
,5669.5098,^DJI,Dow Jones Industrial Average
,5670.6001,^DJI,Dow Jones Industrial Average
,5671.6802,^DJI,Dow Jones Industrial Average
1996-03-04 00:00:00+00:00,5560.4102,^DJI,Dow Jones Industrial Average
1996-10-04 00:00:00+00:00,5620.02,^DJI,Dow Jones Industrial Average
,5588.5898,^DJI,Dow Jones Industrial Average
,5569.0801,^DJI,Dow Jones Industrial Average
1996-01-05 00:00:00+00:00,5420.9502,^DJI,Dow Jones Industrial Average
1996-08-05 00:00:00+00:00,5624.71,^DJI,Dow Jones Industrial Average
,5736.2598,^DJI,Dow Jones Industrial Average
,5709.6699,^DJI,Dow Jones Industrial Average
,5665.71,^DJI,Dow Jones Industrial Average
1996-05-06 00:00:00+00:00,5668.6602,^DJI,Dow Jones Industrial Average
1996-12-06 00:00:00+00:00,5628.0298,^DJI,Dow Jones Industrial Average
,5719.27,^DJI,Dow Jones Industrial Average
,5720.3799,^DJI,Dow Jones Industrial Average
1996-03-07 00:00:00+00:00,5581.8599,^DJI,Dow Jones Industrial Average
1996-10-07 00:00:00+00:00,5358.7598,^DJI,Dow Jones Industrial Average
,5346.5498,^DJI,Dow Jones Industrial Average
,5481.9302,^DJI,Dow Jones Industrial Average
,5696.1099,^DJI,Dow Jones Industrial Average
1996-07-08 00:00:00+00:00,5647.2798,^DJI,Dow Jones Industrial Average
,5721.2598,^DJI,Dow Jones Industrial Average
,5711.27,^DJI,Dow Jones Industrial Average
,5648.3901,^DJI,Dow Jones Industrial Average
1996-04-09 00:00:00+00:00,5727.1802,^DJI,Dow Jones Industrial Average
1996-11-09 00:00:00+00:00,5888.8301,^DJI,Dow Jones Industrial Average
,5874.0298,^DJI,Dow Jones Industrial Average
,5904.8999,^DJI,Dow Jones Industrial Average
1996-02-10 00:00:00+00:00,5966.77,^DJI,Dow Jones Industrial Average
1996-09-10 00:00:00+00:00,6004.7798,^DJI,Dow Jones Industrial Average
,6061.7998,^DJI,Dow Jones Industrial Average
,6007.02,^DJI,Dow Jones Industrial Average
,6081.1802,^DJI,Dow Jones Industrial Average
1996-06-11 00:00:00+00:00,6266.04,^DJI,Dow Jones Industrial Average
,6397.6001,^DJI,Dow Jones Industrial Average
,6528.4102,^DJI,Dow Jones Industrial Average
,6442.6899,^DJI,Dow Jones Industrial Average
1996-04-12 00:00:00+00:00,6473.25,^DJI,Dow Jones Industrial Average
1996-11-12 00:00:00+00:00,6308.3301,^DJI,Dow Jones Industrial Average
,6522.8501,^DJI,Dow Jones Industrial Average
,6448.27,^DJI,Dow Jones Industrial Average
